epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,779.911,0.72491,0.52366,1.2615,0.98738,1,0.995,0.92908,0.4379,0.5516,0.96733,0.000413568,0.000413568,0.000413568
74,788.847,0.55008,0.47149,1.04272,0.98738,1,0.995,0.92908,0.4379,0.5516,0.96733,0.000404858,0.000404858,0.000404858
75,797.945,0.52482,0.4929,1.10394,0.98733,1,0.995,0.90675,0.38917,0.58108,0.92709,0.000395752,0.000395752,0.000395752
76,806.452,0.61617,0.50872,1.11986,0.98733,1,0.995,0.90675,0.38917,0.58108,0.92709,0.00038625,0.00038625,0.00038625
77,816.28,0.46435,0.49434,1.03969,0.98733,1,0.995,0.90675,0.38917,0.58108,0.92709,0.000376352,0.000376352,0.000376352
78,825.818,0.50411,0.45886,1.0808,0.9882,1,0.995,0.91234,0.43554,0.54051,0.96225,0.000366058,0.000366058,0.000366058
79,835.407,0.6215,0.53554,1.14386,0.9882,1,0.995,0.91234,0.43554,0.54051,0.96225,0.000355368,0.000355368,0.000355368
80,844.659,0.55015,0.52387,1.06116,0.9882,1,0.995,0.91234,0.43554,0.54051,0.96225,0.000344282,0.000344282,0.000344282
81,854.753,0.51659,0.43684,1.09203,0.98819,1,0.995,0.8955,0.41819,0.50787,0.92422,0.0003328,0.0003328,0.0003328
82,865.165,0.52029,0.43167,1.09052,0.98819,1,0.995,0.8955,0.41819,0.50787,0.92422,0.000320922,0.000320922,0.000320922
83,876.078,0.64869,0.60077,1.24852,0.98819,1,0.995,0.8955,0.41819,0.50787,0.92422,0.000308648,0.000308648,0.000308648
84,886.638,0.45618,0.40216,1.02285,0.98694,1,0.995,0.88526,0.48646,0.44114,0.9854,0.000295978,0.000295978,0.000295978
85,896.812,0.5511,0.4602,1.07797,0.98694,1,0.995,0.88526,0.48646,0.44114,0.9854,0.000282912,0.000282912,0.000282912
86,907.238,0.50542,0.45564,1.04106,0.98694,1,0.995,0.88526,0.48646,0.44114,0.9854,0.00026945,0.00026945,0.00026945
87,918.67,0.35088,0.39223,0.98405,0.98694,1,0.995,0.88526,0.48646,0.44114,0.9854,0.000255592,0.000255592,0.000255592
88,929.552,0.39154,0.37213,1.01628,0.98664,1,0.995,0.85735,0.47657,0.36937,0.96974,0.000241338,0.000241338,0.000241338
89,940.48,0.49819,0.3939,1.00634,0.98664,1,0.995,0.85735,0.47657,0.36937,0.96974,0.000226688,0.000226688,0.000226688
90,952.237,0.45829,0.45545,0.95314,0.98664,1,0.995,0.85735,0.47657,0.36937,0.96974,0.000211642,0.000211642,0.000211642
91,964.913,1.01797,1.5124,1.90045,0.98664,1,0.995,0.85735,0.47657,0.36937,0.96974,0.0001962,0.0001962,0.0001962
92,977.879,0.52981,1.02155,1.12765,0.98645,1,0.995,0.88489,0.47119,0.4158,0.96419,0.000180362,0.000180362,0.000180362
93,989.152,0.56522,0.80141,1.24139,0.98645,1,0.995,0.88489,0.47119,0.4158,0.96419,0.000164128,0.000164128,0.000164128
94,999.58,0.78105,0.90278,1.58321,0.98645,1,0.995,0.88489,0.47119,0.4158,0.96419,0.000147498,0.000147498,0.000147498
95,1010.56,0.50208,0.6805,1.19086,0.98645,1,0.995,0.88489,0.47119,0.4158,0.96419,0.000130472,0.000130472,0.000130472
1,10.5855,2.47071,4.35499,3.0465,0.04968,0.33333,0.06702,0.02497,1.85388,5.03435,3.69876,0,0,0
2,22.9913,2.08502,4.45097,2.70732,0.06168,0.33333,0.07538,0.03683,1.82386,4.54015,3.61643,1.9802e-05,1.9802e-05,1.9802e-05
3,33.8929,1.97847,3.13922,2.46638,0.20246,0.66667,0.2531,0.13374,1.79459,4.38321,3.50626,3.9208e-05,3.9208e-05,3.9208e-05
4,44.5651,1.97175,2.73485,2.73525,0.56416,0.88052,0.64133,0.3393,1.82753,6.06259,3.30821,5.8218e-05,5.8218e-05,5.8218e-05
5,55.6907,1.77091,2.5126,2.35404,0.9548,1,0.995,0.4862,1.67451,9.64675,3.02183,7.6832e-05,7.6832e-05,7.6832e-05
6,66.1509,1.60528,2.20377,2.2914,1,0.96279,0.995,0.48434,1.69545,12.3151,2.91315,9.505e-05,9.505e-05,9.505e-05
7,76.5785,1.47446,2.36482,2.14118,0.72148,1,0.9125,0.37612,1.85715,11.6807,3.05087,0.000112872,0.000112872,0.000112872
8,87.1553,1.59762,1.95504,2.05937,0.89253,0.66667,0.775,0.27692,2.17831,10.1048,3.73608,0.000130298,0.000130298,0.000130298
9,97.4578,1.38275,1.96452,1.78366,0.96576,0.66667,0.80643,0.30325,2.07725,9.94793,3.39911,0.000147328,0.000147328,0.000147328
10,108.662,1.44577,2.07927,1.93296,1,0.96784,0.995,0.36929,1.73325,8.61166,2.97077,0.000163962,0.000163962,0.000163962
11,119.267,1.31225,1.62716,1.76946,0.72663,1,0.83,0.42847,1.53201,6.63841,2.74313,0.0001802,0.0001802,0.0001802
12,129.485,1.23455,1.75667,1.74473,0.99169,0.66667,0.9125,0.54534,1.2862,4.86516,2.57694,0.000196042,0.000196042,0.000196042
13,139.965,1.18714,1.69359,1.60071,0.73129,0.92515,0.9125,0.62092,1.36909,3.92705,2.83455,0.000211488,0.000211488,0.000211488
14,151.319,1.13147,1.35789,1.45211,0.98107,0.66667,0.78875,0.47999,1.45795,3.16734,3.11423,0.000226538,0.000226538,0.000226538
15,161.908,1.05466,1.37539,1.51976,0.96647,0.66667,0.83,0.43819,1.61476,3.03777,3.25533,0.000241192,0.000241192,0.000241192
16,172.035,0.70333,1.16547,1.28138,0.92359,0.66667,0.863,0.48393,1.70249,2.90575,3.30345,0.00025545,0.00025545,0.00025545
17,182.64,0.91369,1.10699,1.25871,1,0.95496,0.995,0.53674,1.46554,1.92946,2.63139,0.000269312,0.000269312,0.000269312
18,191.404,0.66788,0.93152,1.2557,1,0.95496,0.995,0.53674,1.46554,1.92946,2.63139,0.000282778,0.000282778,0.000282778
19,199.209,0.76324,1.11623,1.28523,0.98349,1,0.995,0.6912,1.1348,1.78415,1.89905,0.000295848,0.000295848,0.000295848
20,208.005,0.72092,1.22749,1.35928,0.98349,1,0.995,0.6912,1.1348,1.78415,1.89905,0.000308522,0.000308522,0.000308522
21,216.481,0.76004,1.06825,1.30582,0.988,1,0.995,0.74686,1.0947,1.92093,2.03686,0.0003208,0.0003208,0.0003208
22,225.342,1.00134,1.05918,1.4728,0.988,1,0.995,0.74686,1.0947,1.92093,2.03686,0.000332682,0.000332682,0.000332682
23,234.335,0.92177,1.08802,1.2502,0.98429,1,0.995,0.77982,0.92766,1.29887,1.84196,0.000344168,0.000344168,0.000344168
24,242.735,0.7836,1.02982,1.42035,0.98429,1,0.995,0.77982,0.92766,1.29887,1.84196,0.000355258,0.000355258,0.000355258
25,251.931,0.72207,0.95887,1.25716,0.98189,1,0.995,0.76324,0.99267,1.70721,2.04617,0.000365952,0.000365952,0.000365952
26,260.157,0.62633,0.75471,1.10787,0.98189,1,0.995,0.76324,0.99267,1.70721,2.04617,0.00037625,0.00037625,0.00037625
27,268.822,0.74548,0.72755,1.1788,0.98242,1,0.995,0.6965,1.34828,1.69995,3.26436,0.000386152,0.000386152,0.000386152
28,276.735,0.63541,0.8352,1.16563,0.98242,1,0.995,0.6965,1.34828,1.69995,3.26436,0.000395658,0.000395658,0.000395658
29,285.148,0.6346,0.79711,1.07907,0.98499,1,0.995,0.6965,1.58014,1.4903,4.10054,0.000404768,0.000404768,0.000404768
30,292.849,0.63098,0.73352,1.11414,0.98499,1,0.995,0.6965,1.58014,1.4903,4.10054,0.000413482,0.000413482,0.000413482
31,301.083,0.59086,0.74476,1.22017,0.98176,1,0.995,0.60824,1.56626,2.07039,3.77005,0.0004218,0.0004218,0.0004218
32,309.388,0.57177,0.67296,1.10621,0.98176,1,0.995,0.60824,1.56626,2.07039,3.77005,0.000429722,0.000429722,0.000429722
33,317.426,0.60149,0.73097,1.12919,0.98617,1,0.995,0.6965,1.3357,1.42096,3.32245,0.000437248,0.000437248,0.000437248
34,325.416,0.54984,0.63023,1.10683,0.98617,1,0.995,0.6965,1.3357,1.42096,3.32245,0.000444378,0.000444378,0.000444378
35,333.987,0.56612,0.64895,1.13953,0.98468,1,0.995,0.7799,1.12399,1.26742,2.69434,0.000451112,0.000451112,0.000451112
36,342.966,0.73005,0.72413,1.19313,0.98468,1,0.995,0.7799,1.12399,1.26742,2.69434,0.00045745,0.00045745,0.00045745
37,351.411,0.75,0.88288,1.17944,0.98211,1,0.995,0.71333,1.04862,1.51234,2.5564,0.000463392,0.000463392,0.000463392
38,359.565,0.56406,0.80259,1.10808,0.98211,1,0.995,0.71333,1.04862,1.51234,2.5564,0.000468938,0.000468938,0.000468938
39,367.771,0.96483,0.97847,1.47667,0.98655,1,0.995,0.66417,1.09432,2.26908,2.392,0.000474088,0.000474088,0.000474088
40,375.633,0.67713,0.68238,1.15818,0.98655,1,0.995,0.66417,1.09432,2.26908,2.392,0.000478842,0.000478842,0.000478842
41,384.052,0.68395,0.67928,1.26691,0.75547,1,0.995,0.64201,0.92092,3.98371,1.95526,0.0004832,0.0004832,0.0004832
42,391.905,0.49804,0.60206,1.07455,0.75547,1,0.995,0.64201,0.92092,3.98371,1.95526,0.000487162,0.000487162,0.000487162
43,400.012,0.57804,0.66507,1.12133,0.92216,1,0.995,0.75218,0.87037,1.50701,2.05427,0.000490728,0.000490728,0.000490728
44,408.24,0.58896,0.71177,1.1428,0.92216,1,0.995,0.75218,0.87037,1.50701,2.05427,0.000493898,0.000493898,0.000493898
45,416.272,0.65779,0.70769,1.17812,0.98136,1,0.995,0.60546,1.24505,1.26494,2.47184,0.000496672,0.000496672,0.000496672
46,424.017,0.59036,0.72527,1.11447,0.98136,1,0.995,0.60546,1.24505,1.26494,2.47184,0.00049905,0.00049905,0.00049905
47,432.087,0.59972,0.70692,1.07595,0.9846,1,0.995,0.56485,1.51893,2.24713,2.40545,0.000501032,0.000501032,0.000501032
48,439.81,0.65708,0.73277,1.10846,0.9846,1,0.995,0.56485,1.51893,2.24713,2.40545,0.000502618,0.000502618,0.000502618
49,448.526,0.49409,0.59175,1.05015,0.97999,1,0.995,0.56555,1.54977,2.36986,2.43443,0.000503808,0.000503808,0.000503808
50,456.546,0.64347,0.63308,1.12281,0.97999,1,0.995,0.56555,1.54977,2.36986,2.43443,0.000504602,0.000504602,0.000504602
